r_arcsec,x_over_rc,kappa_glafic_raw,kappa_glafic_denoised,kappa_shape_dimless,kappa_glafic_norm,kappa_shape_norm
4.451227511380163870e-02,4.451227511380163870e-02,1.311587479740915793e-04,1.311587479740915793e-04,8.078065998782819612e-01,9.978053004639142465e-01,9.978053004857121433e-01
4.647426365226744321e-02,4.647426365226744321e-02,1.311328003658977749e-04,1.311328003658977749e-04,8.076467885864678786e-01,9.976079010422969073e-01,9.976079010660074964e-01
4.852273168465329189e-02,4.852273168465329189e-02,1.311045257561790412e-04,1.311045257561790412e-04,8.074726452946715538e-01,9.973927986882284991e-01,9.973927987140032148e-01
5.066149100838923669e-02,5.066149100838923669e-02,1.310737165172411796e-04,1.310737165172411796e-04,8.072828912241337695e-01,9.971584138500815264e-01,9.971584138780784645e-01
5.289452143529790179e-02,5.289452143529790179e-02,1.310401466946255146e-04,1.310401466946255146e-04,8.070761347215662518e-01,9.969030275532547725e-01,9.969030275836326949e-01
5.522597819724424373e-02,5.522597819724424373e-02,1.310035704268147573e-04,1.310035704268147573e-04,8.068508615261256178e-01,9.966247693779024530e-01,9.966247694108202326e-01
5.766019967820736059e-02,5.766019967820736059e-02,1.309637202357170948e-04,1.309637202357170948e-04,8.066054242404998575e-01,9.963216044535956328e-01,9.963216044892027057e-01
6.020171548716263255e-02,6.020171548716263255e-02,1.309203051787083405e-04,1.309203051787083405e-04,8.063380309493360931e-01,9.959913194007691262e-01,9.959913194391948332e-01
6.285525488679599704e-02,6.285525488679599704e-02,1.308730088526200450e-04,1.308730088526200450e-04,8.060467329258043101e-01,9.956315071458313737e-01,9.956315071871720823e-01
6.562575559373480527e-02,6.562575559373480527e-02,1.308214872397125928e-04,1.308214872397125928e-04,8.057294113649394740e-01,9.952395505341560256e-01,9.952395505784528140e-01
6.851837296667029342e-02,6.851837296667029342e-02,1.307653663853847040e-04,1.307653663853847040e-04,8.053837630806510717e-01,9.948126046629893748e-01,9.948126047101982783e-01
7.153848959946963737e-02,7.153848959946963737e-02,1.307042398971637804e-04,1.307042398971637804e-04,8.050072851019910436e-01,9.943475778547307131e-01,9.943475779046736518e-01
7.469172533712788165e-02,7.469172533712788165e-02,1.306376662544166166e-04,1.306376662544166166e-04,8.045972581036580085e-01,9.938411111902469841e-01,9.938411112425535876e-01
7.798394773319775042e-02,7.798394773319775042e-02,1.305651659182589981e-04,1.305651659182589981e-04,8.041507286059034199e-01,9.932895565221757650e-01,9.932895565761892254e-01
8.142128296815660804e-02,8.142128296815660804e-02,1.304862182313452099e-04,1.304862182313452099e-04,8.036644898803116943e-01,9.926889528897172577e-01,9.926889529443669868e-01
8.501012724902719253e-02,8.501012724902719253e-02,1.304002580976410496e-04,1.304002580976410496e-04,8.031350615004823057e-01,9.920350012596244049e-01,9.920350013132452904e-01
